Ensembl,hgnc_symbol,entrezgene_id,entrezgene_accession,external_gene_name,description,log2FoldChange,pvalue,padj
ENSG00000229419,RALGAPA1P1,NA,,RALGAPA1P1,RALGAPA1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:23203],1.520698233,0.000523063,0.022672103
ENSG00000131979,GCH1,2643,GCH1,GCH1,GTP cyclohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:4193],1.518230851,0.000715381,0.028292962
ENSG00000094804,CDC6,990,CDC6,CDC6,cell division cycle 6 [Source:HGNC Symbol;Acc:HGNC:1744],1.503261456,0.000114595,0.00835591
ENSG00000164220,F2RL2,2151,F2RL2,F2RL2,coagulation factor II thrombin receptor like 2 [Source:HGNC Symbol;Acc:HGNC:3539],1.497822226,7.44E-05,0.006021038
ENSG00000138792,ENPEP,2028,ENPEP,ENPEP,glutamyl aminopeptidase [Source:HGNC Symbol;Acc:HGNC:3355],1.487860516,6.12E-05,0.005346264
ENSG00000167772,ANGPTL4,51129,ANGPTL4,ANGPTL4,angiopoietin like 4 [Source:HGNC Symbol;Acc:HGNC:16039],1.473848868,0.000417476,0.020492458
ENSG00000181577,LINC03040,NA,,LINC03040,long intergenic non-protein coding RNA 3040 [Source:HGNC Symbol;Acc:HGNC:28692],1.466148859,0.000585563,0.024676491
ENSG00000170006,TMEM154,201799,TMEM154,TMEM154,transmembrane protein 154 [Source:HGNC Symbol;Acc:HGNC:26489],1.463308199,1.62E-05,0.002155923
ENSG00000117245,KIF17,57576,KIF17,KIF17,kinesin family member 17 [Source:HGNC Symbol;Acc:HGNC:19167],1.434113503,1.22E-05,0.001710273
ENSG00000214999,,NA,,,"novel transcript, antisense to ALOX12B",1.420368031,0.001367727,0.040553566
ENSG00000100505,TRIM9,114088,TRIM9,TRIM9,tripartite motif containing 9 [Source:HGNC Symbol;Acc:HGNC:16288],1.418757656,0.001061428,0.035460976
ENSG00000138685,FGF2,2247,FGF2,FGF2,fibroblast growth factor 2 [Source:HGNC Symbol;Acc:HGNC:3676],1.399913134,5.84E-07,0.000183369
ENSG00000119508,NR4A3,8013,NR4A3,NR4A3,nuclear receptor subfamily 4 group A member 3 [Source:HGNC Symbol;Acc:HGNC:7982],1.369686093,3.14E-07,0.000114907
ENSG00000197620,EOLA1,91966,EOLA1,EOLA1,endothelium and lymphocyte associated ASCH domain 1 [Source:HGNC Symbol;Acc:HGNC:28089],1.363386126,1.61E-11,2.18E-08
ENSG00000197620,EOLA1,541578,EOLA2,EOLA1,endothelium and lymphocyte associated ASCH domain 1 [Source:HGNC Symbol;Acc:HGNC:28089],1.363386126,1.61E-11,2.18E-08
ENSG00000224511,LINC00365,100874146,LINC00365,LINC00365,long intergenic non-protein coding RNA 365 [Source:HGNC Symbol;Acc:HGNC:42687],1.361837695,0.000580603,0.024526309
ENSG00000087074,PPP1R15A,23645,PPP1R15A,PPP1R15A,protein phosphatase 1 regulatory subunit 15A [Source:HGNC Symbol;Acc:HGNC:14375],1.353857524,0.001102896,0.035974604
ENSG00000227195,MIR663AHG,284801,MIR663AHG,MIR663AHG,MIR663A host gene [Source:HGNC Symbol;Acc:HGNC:27662],1.344157539,0.001300929,0.039827928
ENSG00000167077,MEI1,150365,MEI1,MEI1,meiotic double-stranded break formation protein 1 [Source:HGNC Symbol;Acc:HGNC:28613],1.33990173,0.000248291,0.014641663
ENSG00000137331,IER3,8870,IER3,IER3,immediate early response 3 [Source:HGNC Symbol;Acc:HGNC:5392],1.337203854,6.77E-05,0.005655717
ENSG00000162892,IL24,11009,IL24,IL24,interleukin 24 [Source:HGNC Symbol;Acc:HGNC:11346],1.327852168,0.001531676,0.042791951
ENSG00000197385,ZNF860,344787,ZNF860,ZNF860,zinc finger protein 860 [Source:HGNC Symbol;Acc:HGNC:34513],1.319207154,0.001246529,0.038908083
ENSG00000176771,NCKAP5,344148,NCKAP5,NCKAP5,NCK associated protein 5 [Source:HGNC Symbol;Acc:HGNC:29847],1.313147355,4.92E-05,0.004669448
ENSG00000243415,,NA,,,"novel transcript, antisense to PLOD2",1.311454414,0.000211655,0.013189383
ENSG00000112379,ARFGEF3,57221,ARFGEF3,ARFGEF3,ARFGEF family member 3 [Source:HGNC Symbol;Acc:HGNC:21213],1.304364163,3.15E-05,0.003525014
ENSG00000111834,RSPH4A,345895,RSPH4A,RSPH4A,radial spoke head component 4A [Source:HGNC Symbol;Acc:HGNC:21558],1.303673834,0.00031494,0.016822027
ENSG00000029993,HMGB3,3149,HMGB3,HMGB3,high mobility group box 3 [Source:HGNC Symbol;Acc:HGNC:5004],1.295291836,0.001105462,0.035974604
ENSG00000101255,TRIB3,57761,TRIB3,TRIB3,tribbles pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:16228],1.276808885,6.41E-06,0.001005582
ENSG00000175793,SFN,2810,SFN,SFN,stratifin [Source:HGNC Symbol;Acc:HGNC:10773],1.272150835,6.67E-05,0.005606256
ENSG00000149256,TENM4,26011,TENM4,TENM4,teneurin transmembrane protein 4 [Source:HGNC Symbol;Acc:HGNC:29945],1.271078537,0.000456803,0.021406409
ENSG00000103257,SLC7A5,8140,SLC7A5,SLC7A5,solute carrier family 7 member 5 [Source:HGNC Symbol;Acc:HGNC:11063],1.262027215,0.001078418,0.0357824
ENSG00000240429,LRRFIP1P1,NA,,LRRFIP1P1,LRR binding FLII interacting protein 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:32937],1.257170246,2.84E-07,0.000108639
ENSG00000023909,GCLM,2730,GCLM,GCLM,glutamate-cysteine ligase modifier subunit [Source:HGNC Symbol;Acc:HGNC:4312],1.253954637,3.48E-07,0.000119996
ENSG00000121769,FABP3,2170,FABP3,FABP3,fatty acid binding protein 3 [Source:HGNC Symbol;Acc:HGNC:3557],1.25323316,0.001406473,0.041193249
ENSG00000235902,,NA,,,novel transcript,1.248816812,0.001323024,0.039995781
ENSG00000168389,MFSD2A,84879,MFSD2A,MFSD2A,"MFSD2 lysolipid transporter A, lysophospholipid [Source:HGNC Symbol;Acc:HGNC:25897]",1.224804317,0.000128075,0.009041976
ENSG00000165521,EML5,161436,EML5,EML5,EMAP like 5 [Source:HGNC Symbol;Acc:HGNC:18197],1.221553561,3.34E-05,0.003667303
ENSG00000173210,ABLIM3,22885,ABLIM3,ABLIM3,actin binding LIM protein family member 3 [Source:HGNC Symbol;Acc:HGNC:29132],1.21344434,0.001298329,0.039827928
ENSG00000284669,,NA,,,"novel transcript, antisense CSRNP1",1.198142287,1.34E-12,3.36E-09
ENSG00000123610,TNFAIP6,7130,TNFAIP6,TNFAIP6,TNF alpha induced protein 6 [Source:HGNC Symbol;Acc:HGNC:11898],1.196018634,2.37E-06,0.000507008
ENSG00000164761,TNFRSF11B,4982,TNFRSF11B,TNFRSF11B,TNF receptor superfamily member 11b [Source:HGNC Symbol;Acc:HGNC:11909],1.183941463,3.30E-05,0.003665967
ENSG00000128342,LIF,3976,LIF,LIF,LIF interleukin 6 family cytokine [Source:HGNC Symbol;Acc:HGNC:6596],1.180053501,2.29E-16,2.01E-12
ENSG00000175106,TVP23C,201158,TVP23C,TVP23C,trans-golgi network vesicle protein 23 homolog C [Source:HGNC Symbol;Acc:HGNC:30453],1.179999119,1.72E-05,0.002239165
ENSG00000155304,HSPA13,6782,HSPA13,HSPA13,heat shock protein family A (Hsp70) member 13 [Source:HGNC Symbol;Acc:HGNC:11375],1.166683385,0.000217359,0.013373456
ENSG00000147251,DOCK11,139818,DOCK11,DOCK11,dedicator of cytokinesis 11 [Source:HGNC Symbol;Acc:HGNC:23483],1.166017449,0.00104448,0.03502794
ENSG00000100346,CACNA1I,8911,CACNA1I,CACNA1I,calcium voltage-gated channel subunit alpha1 I [Source:HGNC Symbol;Acc:HGNC:1396],1.157328037,0.001285123,0.039620129
ENSG00000112541,PDE10A,10846,PDE10A,PDE10A,phosphodiesterase 10A [Source:HGNC Symbol;Acc:HGNC:8772],1.150656444,0.000339047,0.017732357
ENSG00000112541,PDE10A,90632,LINC00473,PDE10A,phosphodiesterase 10A [Source:HGNC Symbol;Acc:HGNC:8772],1.150656444,0.000339047,0.017732357
ENSG00000164949,GEM,2669,GEM,GEM,GTP binding protein overexpressed in skeletal muscle [Source:HGNC Symbol;Acc:HGNC:4234],1.147616408,0.000758537,0.029342609
ENSG00000103742,IGDCC4,57722,IGDCC4,IGDCC4,immunoglobulin superfamily DCC subclass member 4 [Source:HGNC Symbol;Acc:HGNC:13770],1.14125512,5.58E-06,0.000924901
ENSG00000185015,CA13,377677,CA13,CA13,carbonic anhydrase 13 [Source:HGNC Symbol;Acc:HGNC:14914],1.137916797,1.51E-06,0.00037385
ENSG00000185338,SOCS1,8651,SOCS1,SOCS1,suppressor of cytokine signaling 1 [Source:HGNC Symbol;Acc:HGNC:19383],1.110212699,0.001967834,0.049856584
ENSG00000149557,FEZ1,9638,FEZ1,FEZ1,fasciculation and elongation protein zeta 1 [Source:HGNC Symbol;Acc:HGNC:3659],1.110137016,5.48E-05,0.004959419
ENSG00000149557,FEZ1,105369550,STT3A-AS1,FEZ1,fasciculation and elongation protein zeta 1 [Source:HGNC Symbol;Acc:HGNC:3659],1.110137016,5.48E-05,0.004959419
ENSG00000028277,POU2F2,5452,POU2F2,POU2F2,POU class 2 homeobox 2 [Source:HGNC Symbol;Acc:HGNC:9213],1.103423661,0.00076031,0.029342609
ENSG00000206432,TMEM200C,645369,TMEM200C,TMEM200C,transmembrane protein 200C [Source:HGNC Symbol;Acc:HGNC:37208],1.100344281,0.000791845,0.029648085
ENSG00000229715,EEF1DP3,NA,,EEF1DP3,eukaryotic translation elongation factor 1 delta pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:30486],1.100304467,7.71E-05,0.006131793
ENSG00000150630,VEGFC,7424,VEGFC,VEGFC,vascular endothelial growth factor C [Source:HGNC Symbol;Acc:HGNC:12682],1.098886064,7.38E-06,0.001138213
ENSG00000197860,SGTB,54557,SGTB,SGTB,small glutamine rich tetratricopeptide repeat co-chaperone beta [Source:HGNC Symbol;Acc:HGNC:23567],1.089706809,8.01E-07,0.000246917
ENSG00000157168,NRG1,3084,NRG1,NRG1,neuregulin 1 [Source:HGNC Symbol;Acc:HGNC:7997],1.083900634,5.44E-05,0.004955946
ENSG00000169429,CXCL8,3576,CXCL8,CXCL8,C-X-C motif chemokine ligand 8 [Source:HGNC Symbol;Acc:HGNC:6025],1.082001324,8.68E-12,1.53E-08
ENSG00000106034,CPED1,79974,CPED1,CPED1,cadherin like and PC-esterase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26159],1.074660179,0.000947076,0.032698377
ENSG00000153879,CEBPG,1054,CEBPG,CEBPG,CCAAT enhancer binding protein gamma [Source:HGNC Symbol;Acc:HGNC:1837],1.068147937,0.001261987,0.039196477
ENSG00000271933,,NA,,,"novel transcript, antisense to GHITM",1.065569654,1.80E-05,0.002284664
ENSG00000171522,PTGER4,5734,PTGER4,PTGER4,prostaglandin E receptor 4 [Source:HGNC Symbol;Acc:HGNC:9596],1.061467362,0.000849603,0.030783656
ENSG00000167723,TRPV3,162514,TRPV3,TRPV3,transient receptor potential cation channel subfamily V member 3 [Source:HGNC Symbol;Acc:HGNC:18084],1.060454813,4.25E-06,0.00073243
ENSG00000115919,KYNU,8942,KYNU,KYNU,kynureninase [Source:HGNC Symbol;Acc:HGNC:6469],1.058899505,1.05E-06,0.000298883
ENSG00000222937,SNORD63B,NA,,SNORD63B,"small nucleolar RNA, C/D box 63B [Source:HGNC Symbol;Acc:HGNC:52230]",1.05826333,0.001534391,0.04279976
ENSG00000149485,FADS1,3992,FADS1,FADS1,fatty acid desaturase 1 [Source:HGNC Symbol;Acc:HGNC:3574],1.057107457,1.52E-05,0.002044582
ENSG00000237399,PITRM1-AS1,100507034,PITRM1-AS1,PITRM1-AS1,PITRM1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44675],1.053898426,0.000257762,0.014851337
ENSG00000130164,LDLR,3949,LDLR,LDLR,low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:6547],1.02609355,1.72E-08,1.44E-05
ENSG00000173281,PPP1R3B,79660,PPP1R3B,PPP1R3B,protein phosphatase 1 regulatory subunit 3B [Source:HGNC Symbol;Acc:HGNC:14942],1.019045398,1.02E-05,0.001481199
ENSG00000198855,FICD,11153,FICD,FICD,FIC domain protein adenylyltransferase [Source:HGNC Symbol;Acc:HGNC:18416],1.007110551,0.000269527,0.01517167
ENSG00000144655,CSRNP1,64651,CSRNP1,CSRNP1,cysteine and serine rich nuclear protein 1 [Source:HGNC Symbol;Acc:HGNC:14300],1.005656933,1.65E-07,7.61E-05
ENSG00000198879,SFMBT2,57713,SFMBT2,SFMBT2,Scm like with four mbt domains 2 [Source:HGNC Symbol;Acc:HGNC:20256],1.003909692,0.001570963,0.043474858
ENSG00000196839,ADA,100,ADA,ADA,adenosine deaminase [Source:HGNC Symbol;Acc:HGNC:186],-1.003577884,5.39E-05,0.004936379
ENSG00000205544,TMEM256,254863,TMEM256,TMEM256,transmembrane protein 256 [Source:HGNC Symbol;Acc:HGNC:28618],-1.017483291,0.000333922,0.017516467
ENSG00000111907,TPD52L1,7164,TPD52L1,TPD52L1,TPD52 like 1 [Source:HGNC Symbol;Acc:HGNC:12006],-1.019184586,0.000251668,0.014694113
ENSG00000206337,HCP5,10866,HCP5,HCP5,HLA complex P5 [Source:HGNC Symbol;Acc:HGNC:21659],-1.028103527,0.001095295,0.035909724
ENSG00000177045,SIX5,147912,SIX5,SIX5,SIX homeobox 5 [Source:HGNC Symbol;Acc:HGNC:10891],-1.02933915,0.000862066,0.030975572
ENSG00000175170,FAM182B,NA,,FAM182B,family with sequence similarity 182 member B [Source:HGNC Symbol;Acc:HGNC:34503],-1.037962078,0.00086356,0.030975572
ENSG00000111348,ARHGDIB,397,ARHGDIB,ARHGDIB,Rho GDP dissociation inhibitor beta [Source:HGNC Symbol;Acc:HGNC:679],-1.041170935,4.06E-05,0.004221555
ENSG00000224307,LINC02975,NA,,LINC02975,long intergenic non-protein coding RNA 2975 [Source:HGNC Symbol;Acc:HGNC:56025],-1.041250638,0.00153053,0.042791951
ENSG00000187624,LIAT1,400566,LIAT1,LIAT1,ligand of ATE1 [Source:HGNC Symbol;Acc:HGNC:33800],-1.050520837,0.000560062,0.023888265
ENSG00000242797,GLYCTK-AS1,NA,,GLYCTK-AS1,GLYCTK antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41043],-1.064709217,0.001125204,0.036214662
ENSG00000131480,AOC2,314,AOC2,AOC2,amine oxidase copper containing 2 [Source:HGNC Symbol;Acc:HGNC:549],-1.066709101,0.001854958,0.048445734
ENSG00000184160,ADRA2C,152,ADRA2C,ADRA2C,adrenoceptor alpha 2C [Source:HGNC Symbol;Acc:HGNC:283],-1.074013036,0.000356294,0.01841518
ENSG00000236409,NRADDP,NA,,NRADDP,"neurotrophin receptor associated death domain, pseudogene [Source:HGNC Symbol;Acc:HGNC:19337]",-1.086174282,0.001762656,0.046932042
ENSG00000265972,TXNIP,10628,TXNIP,TXNIP,thioredoxin interacting protein [Source:HGNC Symbol;Acc:HGNC:16952],-1.088703347,0.001326922,0.039996569
ENSG00000135744,AGT,183,AGT,AGT,angiotensinogen [Source:HGNC Symbol;Acc:HGNC:333],-1.11233262,0.000798777,0.029802347
ENSG00000241935,HOGA1,112817,HOGA1,HOGA1,4-hydroxy-2-oxoglutarate aldolase 1 [Source:HGNC Symbol;Acc:HGNC:25155],-1.118457003,0.001116383,0.035996684
ENSG00000272927,,NA,,,"novel transcript, antisense to PDE6B",-1.123691472,0.000847235,0.030783656
ENSG00000104998,IL27RA,9466,IL27RA,IL27RA,interleukin 27 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:17290],-1.126946594,0.000872335,0.031117949
ENSG00000197093,GAL3ST4,79690,GAL3ST4,GAL3ST4,galactose-3-O-sulfotransferase 4 [Source:HGNC Symbol;Acc:HGNC:24145],-1.136635326,0.001264506,0.039196477
ENSG00000183087,GAS6,2621,GAS6,GAS6,growth arrest specific 6 [Source:HGNC Symbol;Acc:HGNC:4168],-1.140630985,0.001973011,0.049887382
ENSG00000106003,LFNG,3955,LFNG,LFNG,LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase [Source:HGNC Symbol;Acc:HGNC:6560],-1.144489617,0.001950849,0.049652937
ENSG00000134339,SAA2,6289,SAA2,SAA2,serum amyloid A2 [Source:HGNC Symbol;Acc:HGNC:10514],-1.147929483,0.000999971,0.033989347
ENSG00000254837,LIPT2-AS1,100287896,LIPT2-AS1,LIPT2-AS1,LIPT2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:56172],-1.148159431,6.06E-08,3.04E-05
ENSG00000269887,,NA,,,"novel transcript, sense intronic to PBX1",-1.157226347,1.50E-06,0.00037385
ENSG00000242337,INHCAP,NA,,INHCAP,inhibitor of carbonic anhydrase pseudogene [Source:HGNC Symbol;Acc:HGNC:11759],-1.158660286,2.84E-06,0.000566817
ENSG00000173467,AGR3,155465,AGR3,AGR3,"anterior gradient 3, protein disulphide isomerase family member [Source:HGNC Symbol;Acc:HGNC:24167]",-1.160107404,5.55E-05,0.00499908
ENSG00000244041,LINC01011,401232,LINC01011,LINC01011,long intergenic non-protein coding RNA 1011 [Source:HGNC Symbol;Acc:HGNC:33812],-1.161944862,2.56E-12,5.63E-09
ENSG00000205403,CFI,3426,CFI,CFI,complement factor I [Source:HGNC Symbol;Acc:HGNC:5394],-1.167777559,0.001493344,0.042177005
ENSG00000197768,STPG3,441476,STPG3,STPG3,sperm-tail PG-rich repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:37285],-1.173711511,0.000270229,0.01517167
ENSG00000101443,WFDC2,10406,WFDC2,WFDC2,WAP four-disulfide core domain 2 [Source:HGNC Symbol;Acc:HGNC:15939],-1.180921708,0.000141514,0.009752254
ENSG00000135220,UGT2A3,79799,UGT2A3,UGT2A3,UDP glucuronosyltransferase family 2 member A3 [Source:HGNC Symbol;Acc:HGNC:28528],-1.181939868,0.001856931,0.048445734
ENSG00000064655,EYA2,2139,EYA2,EYA2,EYA transcriptional coactivator and phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:3520],-1.182372672,0.001393858,0.040960304
ENSG00000143891,GALM,130589,GALM,GALM,galactose mutarotase [Source:HGNC Symbol;Acc:HGNC:24063],-1.187717628,0.000282696,0.01572096
ENSG00000184434,LRRC19,64922,LRRC19,LRRC19,leucine rich repeat containing 19 [Source:HGNC Symbol;Acc:HGNC:23379],-1.191779659,0.001318037,0.039962502
ENSG00000110195,FOLR1,2348,FOLR1,FOLR1,folate receptor alpha [Source:HGNC Symbol;Acc:HGNC:3791],-1.193572197,0.000715813,0.028292962
ENSG00000163453,IGFBP7,3490,IGFBP7,IGFBP7,insulin like growth factor binding protein 7 [Source:HGNC Symbol;Acc:HGNC:5476],-1.206894801,0.00015175,0.010256554
ENSG00000136449,MYCBPAP,84073,MYCBPAP,MYCBPAP,MYCBP associated protein [Source:HGNC Symbol;Acc:HGNC:19677],-1.209851304,0.000298719,0.016273018
ENSG00000178226,PRSS36,146547,PRSS36,PRSS36,serine protease 36 [Source:HGNC Symbol;Acc:HGNC:26906],-1.226796536,0.000535291,0.023025739
ENSG00000079215,SLC1A3,6507,SLC1A3,SLC1A3,solute carrier family 1 member 3 [Source:HGNC Symbol;Acc:HGNC:10941],-1.228449625,0.000365663,0.018788901
